instruction,input,output,source,task
"Translate the following Hassania Arabic dialect text to English:
شتمى ايلين بدل ارايو؟",,What made him change his mind?,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,شتمى ايلين,شتمى ايلين بدل ارايو؟,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
My grandfather comes from Aleg.",,جدي من ألاگ,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
جدي من ألاگ",,My grandfather comes from Aleg.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Come on!",,حگلل,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
حگلل",,Come on!,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Salem can speak French.",,سالم يگد يتكلم بالفرنسية,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
سالم يگد يتكلم بالفرنسية",,Salem can speak French.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,سالم يگد يتك,سالم يگد يتكلم بالفرنسية,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Make your choice.",,اختر التبقي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
اختر التبقي",,Make your choice.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
She's a girl.",,هي طفلة,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
هي طفلة",,She's a girl.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Mouna is liked by all students.",,منى غالية على التلاميد كاملين,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
منى غالية على التلاميد كاملين",,Mouna is liked by all students.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,منى غالية على ,منى غالية على التلاميد كاملين,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
The boy remained silent.",,تم اطفل ساكت,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
تم اطفل ساكت",,The boy remained silent.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Don't play dumb!",,لا تجنن راصك,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
لا تجنن راصك",,Don't play dumb!,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Where does it hurt?",,منين يوجعك؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
منين يوجعك؟",,Where does it hurt?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Kemal took some roses.",,كمال طفگ معاه شي من فلير,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
كمال طفگ معاه شي من فلير",,Kemal took some roses.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,كمال طفگ معا,كمال طفگ معاه شي من فلير,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
The students learned many poems by heart.",,التلاميذ حفظو ياسر من القصايد,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
التلاميذ حفظو ياسر من القصايد",,The students learned many poems by heart.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,التلاميذ حفظو ,التلاميذ حفظو ياسر من القصايد,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
We all had such a good time.",,مضينا وقت معيدل,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
مضينا وقت معيدل",,We all had such a good time.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
What other options do I have?",,شنگد انعدل گاع اوخر؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
شنگد انعدل گاع اوخر؟",,What other options do I have?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Since cheikh lied to me, I don't speak to him anymore.",,"من ساعة لي اكذب علي الشيخ, ماتليت انخاطب",dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
من ساعة لي اكذب علي الشيخ, ماتليت انخاطب",,"Since cheikh lied to me, I don't speak to him anymore.",dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,من ساعة لي اكذب علي ,"من ساعة لي اكذب علي الشيخ, ماتليت انخاطب",dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Don't cut down those trees.",,لا تگطع ذو اصدر,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
لا تگطع ذو اصدر",,Don't cut down those trees.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Why not see the doctor?",,انت ما فت شفت طبيب,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
انت ما فت شفت طبيب",,Why not see the doctor?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
I received your letter yesterday.",,وصلتني رسالتك يامس,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
وصلتني رسالتك يامس",,I received your letter yesterday.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Your dress is very nice.",,رمبايتك زوينة,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
رمبايتك زوينة",,Your dress is very nice.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
The phone rang when I was having lunch.",,صونات تلفون وان نوكل لغد,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
صونات تلفون وان نوكل لغد",,The phone rang when I was having lunch.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,صونات تلفون ,صونات تلفون وان نوكل لغد,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Quick, run after him.",,اعجل تلبو,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
اعجل تلبو",,"Quick, run after him.",dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Who is standing there?",,من واگف الهيه؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
من واگف الهيه؟",,Who is standing there?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
This is the boy I think about.",,ذ هو الطفل اللي نتخمم فيه,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ذ هو الطفل اللي نتخمم فيه",,This is the boy I think about.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,ذ هو الطفل ا,ذ هو الطفل اللي نتخمم فيه,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Life lies in front of you.",,مزال فيدك أتعدل ياسر من شي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
مزال فيدك أتعدل ياسر من شي",,Life lies in front of you.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,مزال فيدك أتع,مزال فيدك أتعدل ياسر من شي,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
How long does it take to get to the station?",,المحطة كم من هون,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
المحطة كم من هون",,How long does it take to get to the station?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
You're going too far.",,رانك اتعديت حدودك,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
رانك اتعديت حدودك",,You're going too far.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Amadu and Tom are brothers.",,آمادو و صمب خوت,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
آمادو و صمب خوت",,Amadu and Tom are brothers.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
You have a bright future.",,عندك مستقبل مشرق,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
عندك مستقبل مشرق",,You have a bright future.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
He had a blue jacket on.",,كان لابس جاكيت خظرة خظار السما,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
كان لابس جاكيت خظرة خظار السما",,He had a blue jacket on.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,كان لابس جاكيت ,كان لابس جاكيت خظرة خظار السما,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
The admission is ten dollars a person.",,البيه باعشر دولارات لرگاج الواحد,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
البيه باعشر دولارات لرگاج الواحد",,The admission is ten dollars a person.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,البيه باعشر دولا,البيه باعشر دولارات لرگاج الواحد,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
How far is it to the airport?",,شگد بعد المطار عن هون؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
شگد بعد المطار عن هون؟",,How far is it to the airport?,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,شگد بعد الم,شگد بعد المطار عن هون؟,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Cats usually hate dogs.",,الأنواص عادة ما يبغو الأكلاب,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
الأنواص عادة ما يبغو الأكلاب",,Cats usually hate dogs.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,الأنواص عادة م,الأنواص عادة ما يبغو الأكلاب,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
This is my father's.",,هاذ البويه,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
هاذ البويه",,This is my father's.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
I go shopping every morning.",,نمشي نشري شيات كل صبحاي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
نمشي نشري شيات كل صبحاي",,I go shopping every morning.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,نمشي نشري ش,نمشي نشري شيات كل صبحاي,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Do you wash your hands before meals?",,تقسل ايديك سابگ لوكيل؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
تقسل ايديك سابگ لوكيل؟",,Do you wash your hands before meals?,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,تقسل ايديك ,تقسل ايديك سابگ لوكيل؟,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
You're a philosopher, aren't you?",,"انت فيلسوف, حگ؟",dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
انت فيلسوف, حگ؟",,"You're a philosopher, aren't you?",dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
What did you come here for?",,ذلي رافد بيك شنه؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ذلي رافد بيك شنه؟",,What did you come here for?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Where would you like to go first?",,امنين تبغي تمشي اولا؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
امنين تبغي تمشي اولا؟",,Where would you like to go first?,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,امنين تبغي,امنين تبغي تمشي اولا؟,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
She is mad at me.",,هي منفگع اعلي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
هي منفگع اعلي",,She is mad at me.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
We are facing a violent crisis.",,انواجهو كارثه كبيره,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
انواجهو كارثه كبيره",,We are facing a violent crisis.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
My father is in good health.",,والدي صحة زين,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
والدي صحة زين",,My father is in good health.,dah,translation_hassania_to_en
