seg_id,transcription,gender,duration,split
60764_1,ايو زين يغير أساسي تعرفي,M,3.002826705,validation
60770_1,شفت ذو المسألتين أساسيات عندي مهمين عندي,M,3.526512876,validation
60800_8,عيط لي لامك الاه,M,0.909375,validation
60803_1,اشطاري ؟ اياك لباس ؟ اياك الخير ؟ شماسي الوزنة.,F,3.635909091,validation
60841_1,ذاك هو الحق باط,F,1.183181818,validation
60847_1,نجيك آن كل نهار نداعا و لا فيك مول تجيني نهار,M,3.542953326,validation
60915_4,و لا خافيني فيه شي يسو هو شنهو,M,2.239772727,validation
60917_1,لعاد كان ملياردير نحن بعد ما رين منو ماهو مليونين.,F,3.526870748,validation
60923_2,ان اش قلت لك؟,F,1.194555147,validation
60965_1,"كل رمضان عمر ما طيح منو أخمس أوقيات و لا سبه وحده, نين انقولو أشري الكدحان يقول لي نحن عندن كدحان الي من أخلاكتو هو من خلاكتو هو نحن عندن نفس الكدحان  ",F,11.90084572,validation
60984_1,فتبارك الله هذا ما شاء الله زين و مونك و مريح,M,3.488863636,validation
60991_1,مكفولة انت بيك كثرة الاخبار.,M,1.402926136,validation
60997_1,عودانه هي كاع ما تجي على منتو,M,2.929870077,validation
61013_1,ولي قال لي عنو لاهي يمشي لي ش من الفظة عن طريق تلفون,F,3.455880682,validation
61016_1,انراعي فيها مسيكينة اطير وتنزل عانات ذا من المعاناة لين كبظت شهادتها وعادت طبيبة وعادت داوينا كاملين ما فينا اللي ما ايجيها لاجئ لها ادور الدوا وداويه.,M,9.827642045,validation
61064_1,يغير ذا اثرو منطقي نحن اثرن انكدو انتمو  نديصاندو و نتعبو نتكوا الفظة هوناتياه مان مشغلينه في شي ,M,5.918886213,validation
61064_3,"اسمع ذا الي قلت لك, اسمع ذا الي قلت لك, قلت لك عن ذي الفظة ما طايرة منه نحاست عشرين أوقية حالا هذي ماهي فظة كاع متين ألف وللا اثلت ميت ألف مسروقة على واحد",M,10.74254545,validation
61070_4,غير pourquoi ما تقول لها عني كنت معاك,M,1.49296875,validation
61070_5,كنت معاي شنهي ؟ انت ما كنت معاي,M,1.389559659,validation
61071_2,عبد الرحمن انت تعرف ان مريم و الحسن ما فيهم واحد يبقيني آن نمشي مع الناس نتافك معاهم و انت تعرفها,M,4.095,validation
61072_7,رانك وحلتني و ذا ماهو زين عليك ملي,M,1.847045455,validation
61082_1,منادم لوخر ذاك الي كنت انت تقول لي على اني يكاني نعرفو قلت لك اني نعرفو بعد,M,5.600454545,validation
61083_1,و اشبه حد يعيش مسقم,F,4.891420455,validation
61098_1,يغير ذ ما يمنع ذ زمن الراحة نمشي شور باديتي,M,3.590497139,validation
61110_1,أنت ما تات هامتك الشغله وللا ما نعرف رواي شنهي,M,2.515314687,validation
61110_2,ما ينقالك فيه شي,M,1.299301626,validation
61113_1,نقول لي و نقول لك الخير ضاغطين علي الخلطة نوع من الضغط عجيب,F,3.5875,validation
61123_3,و دافع على كل جيه و المدايين يسالوني,M,3.306916586,validation
61124_1,تبين لن علن ذ طفيل الي موقف عندن,M,3.365037809,validation
61128_4,تلفن لي في اخبارو و ذاك في نفس الوقت آن واحل ذاك الوقت,M,2.834090909,validation
61147_1,لتقول الا هون آن في دار قريبي ذاك شيف يجيرني ويجيرك دارو مخنزة مخنزة,M,8.626166845,validation
61149_1,شفتي ذا فوكال مشيه لي هو اسمو ؟,M,2.122769886,validation
61162_2,هيي ننساوها حق يغير كاع مي هي زينة  عليه هو حد عندو شهادة وانو رواية وانو مثقف ايرد اللا اخبار الثقافة والناس المثقفة ويوحل في الثقافة وايعود خيمو الفوق ما ايتم ايعود خيمو التحت اتم ايرد المراد اللي مو هم صالحين وذاك امشى وذاك حى ,M,17.83329545,validation
61183_1,"ماما من النهار الي جان شكرود ذا, اشكردت حياتن, انتي أشكردت حياتك, و اَن أشكردت ملي, و ودعتك لمولان, و Good bye.",M,9.196870748,validation
61189_1, بألفين ؟ ألفين واعره عليه,F,2.838144628,validation
61194_8,حك آن بعد عرفتك كبيل تلثمت كاع ندور كانك تعرفيني,Missing,3.384204545,validation
61229_1,ايو انت شوسيتي ؟,M,0.8440625,validation
61243_2,اسكتي لا تثقلي عليه اسكتي لا تثقلي عليه,F,2.102087199,validation
61243_3,انت اص لا اسكتي اسكتي ماهو فالك ايو اسكتي اسكتي,F,2.984444788,validation
61246_1,و قرايتك بعد ذ ماندورو أيأثر عليه بيه ألي أيلا ألي خسرت قرايتك أيعود كاع ألا ,M,4.910612245,validation
61248_1,اياك ما يوجعك ش,F,0.9034090909,validation
61251_1,انتي امالك جابرتيهم يامس واولنامس واولنامسين لي اتمي كل نهار اللا اوقيات اوقيات.,M,5.444545455,validation
61255_2,يسوى هي منها اللا لين توخظ وحده في امبدية فرظ اعليك انتِ نشريلها كادو.,M,4.279880901,validation
61260_1,يغير هاذي صاحبتي آن و اختي و لابد لي من كضو لها,F,3.297469152,validation
61270_2,نين فت جبرتو ان مستعد لذك كامل ليهي يعدل ان شاء الله,M,4.912532675,validation
61271_5,الا عادت ملي العالية عندها شي مثلا تدورو تعودي تحسيني بيه,M,4.360411932,validation
61288_1,ما يكبظني كاع ڢتلڢون,F,1.804104077,validation
61293_1,و لا نبغي شي يسو هو شنهو,F,1.918388952,validation
61306_4,ذي الدار الي نحن فيه حالا,M,1.472123782,validation
61312_2,أنت والدك ملي لو تقريبا قريب من عشرة أيام وللا ذاك مانجبروه ,M,4.292420659,validation
61321_4,الحيوان مالوا كاع باعو هو كامل,M,1.766107955,validation
61341_1,راعي لك يبوي احمد هون قال عنو ما يبغي يرقد,F,2.194940848,validation
61355_2,بيهلي آن عاقب لي جو نواكشوط عاقب لي circulation و دخاخين الوتات ، فهمت ؟,M,4.863352273,validation
61366_1,آن ما كنت شاك عنو فيك و لا كنت شاك عنك واقع لك ذا كامل,M,2.294772727,validation
61384_1,كل حد أطيح عليه ذ مالو صاحبك يعطيك لخلى,M,3.17871449,validation
61439_1,يا أمي ذا امنادم هاني هاني وراني شي ماتيت ننساه,F,3.569822584,validation
61439_2,هذا امنادم ما هو ساوي كرهني في ذي الحياة كل ساعة ايصكك و كل ساعة الديكة و هذا كاع يا امنيت أمي ما هو ساوي التالية من التاليات عاد أيظني,F,9.241234271,validation
61440_1,الرجالة اللا ذا كيفهم ما ليهي تمرقي عينيهم ما ظنوا ظن سوء,F,3.480426136,validation
61474_2,اذري ما رديت عليك بطولاتي شور ابيدجان,M,3.500681818,validation
61489_1,منيتي يا اخوتي مالها يا اخوتي ؟,M,1.975909091,validation
61497_1,ذاك وفى ذاك وفى ذاك كامل شديت أنا معاه فيه الأخبار و راهي تراجعت عن ذاك كامل شوف راعيه عادت تخيط ليهي تعدل الشبك و ذاك كامل ذاك كامل فاتو الاهانة وفى ,F,9.22527515,validation
61509_1,قال لي آن قال لي ذا هو جاي حالا يغير الدار قال لي ماني كايسها,M,2.83984375,validation
61509_5,قال انو جاينا ظرك حالا,M,1.012017045,validation
61523_1,هذا ماو صالح,M,1.739716797,validation
61534_1,"والله الل مؤلمة آن يول بويا بعد لي انقولك من قديانى اني مابخلت شي, تلفنت لذا الراجل وتلفنت المرة الثانية اجبرتو افتلفون.",M,7.645625,validation
61535_1,أوطى ف لمرى أعطيه أوقيات أعطيل شاشرتك شي,M,3.037482993,validation
61543_1,"ذا الراجل اتبدل, اتقول ان ذا مو هو اعمر قاع واللا اتقول ان ذا مايعنيه واللا محايد واللا قاع ... انا اناا بيني بينك.",M,7.742688219,validation
61550_2,هو اللا ليهي يخبط عمارتو,M,1.757556818,validation
61552_1,الدار دارن و اشاشرة اشاشرتن,Missing,2.266349432,validation
61562_1,و الله و الله باسك اليوم جبرت les commandes,M,3.460909091,validation
61572_2,هذ مظيبيط حته.,M,0.85678569,validation
61587_1,واحلة واحلة آن من نفسي ولاني صايبة لأتاي اللا لا اتكثر امللي  الحس حت ماني صايبالو توف اتليت ,F,6.7746875,validation
61589_1,ذ لين عاد اص كاع ما فيها نتيجة,F,2.203835227,validation
61589_2,ما توفي عنك ذ الي عندك فم من الوتات,F,2.811789773,validation
61590_1,و يوفى حد عنو ذا,F,1.0853125,validation
61642_1,تمشى لي الفظة على رزو موريتل في قرون موريتاني الاربعة,M,3.098068182,validation
61649_1,هيه أنتوم الرجالة ايبانوا ذكوم دخلو دار هل فاه ليهي يعدلو سركل ,M,3.472505961,validation
61672_1, حق مصحف تام الا فرصة جات الى عندي ادور طير إن شاء الله ادور كاع تعود مظلمة الا عليك انت إن شاء الله يدوروا يجوا كرعيك الفوق,M,7.628369099,validation
61676_1,اطفيل مسيكين ما عندو مشكلة انطلص حتة مو لي ينحكم قاع ما عندو مشكلة ولا اثبت اعليه,M,4.524545455,validation
61683_4,و هذي مخلوقة مولان قالت عني نكبظو,M,2.324254474,validation
61684_1,يغير والدي كاع يكد الناصر اللا يدبر عليه ما خسرت خيمتي آن,M,3.830625,validation
61689_2,ماشاء الله لباس اللا قابظتو الحمة اشوي واهل الطب جا الحمد لله دون بل,F,4.106732955,validation
61693_2,نخلى والدي يموت بين يدي,M,1.160749467,validation
61701_1,الي تقول الامور الي التزمت لك بها ادور توصلك في الموعد,M,3.654016899,validation
61707_1,هذي مرتي الثانية انجيك و طبعا الا في اخبار منى,F,3.231949432,validation
61715_1,صراحة نبغي نقولك اعلن آن كاع منى ما كانت في راسي من البداية ,M,3.734616477,validation
61721_1,الوالد قال لنا الطبيب عنو لابد له من عملية,M,3.283563573,validation
61740_1,شي ما نعرف هو شنهو التلفين,M,1.514147727,validation
61743_1,ذ ألا فروغ الوقت,M,1.629994258,validation
61753_6,بقدر ما مهم عندي الالتزام,M,1.625752841,validation
61753_7,حد لين يعطي كلمتو يحترمها,M,1.665894886,validation
61759_2,في حالتك توخرت لين نجبر حد عاطي اشبه,M,2.264318182,validation
61775_2, قولو علنك أنت ظرك مانك شيخ راسك و ذ عدلو مولان علنو ألا,M,4.660323105,validation
61801_1, و جيتك لين ضاقت بي الأرض ,M,2.809741029,validation
61838_1,الراجل الي مشيت عنك واعدو ,M,1.392785005,validation
61854_1,حق مصحف تام الا جنيت آن كوما كاع قلت ان شيف نكر البيت,M,4.086818182,validation
61867_1,ماه الوقت الي نجي فيه اصلا يغير الا طبولي عليه,M,2.92996913,validation
61877_1,صاحبي وخوي اصغر مني,M,2.084148249,validation
61884_1,آن كابظك بمثابة ولي يعلمها مولان,M,4.290909091,validation
61887_2,معاملك يعلمها مولان الا بمثابتو,Missing,2.252727273,validation
61889_2,حق منين شفتك عت قرايتك مخصره,M,3.03546641,validation
61912_2,بيه الي شوف بوها هي لين جا مصفر من شور سنغال,F,3.909588068,validation
61916_2,هذا ما كدر علي ولا نكدني ف خنطي و عادوا الرجالة الا الي عدلن احن يجيبوه الن يسو سباقة و سو خياطة يطرحوه الن,F,10.95046875,validation
61919_4,ذاك الي ليهي نرفد من عندكم اول شي دخلني في بليدة,F,2.999744318,validation
61919_6,يغير بعد الي ليهي ندخل يوميا من شي حساب ليهي ندخلو لكم,F,4.343892045,validation
61921_1,وانو ضعيف وانو مانقدو قاع يكون ما عندنا  اللي لي نعدلو بيهللي اقبيل كان هو اللي لباس بيه واليوم اضعف، مانقدو انعودو اللا لبقر لين تضعف وحدة منو ,F,10.74788904,validation
61946_1,كله كان ببوتيكو و انكعرت بيه نفس قضية مريم هذي ,M,3.017371245,validation
61963_1,هو ماه موجود نهائيا هون ڢالسوق يغير آن مكومانديه لك من الخارج,M,4.563311427,validation
61982_1,إلين سولنا الشرطة عنها هي. قالونهم ما...ماعندهم دليل ولا ارواية ايقدو ايلودولها بيها وللا يحتجزوها لأنها امراة طاها راجل شي من الفظة مايقدو يكردوها ذ مو هو موجب كافي.,M,12.0453125,validation
61994_1,و عطاتني رقم تلفونها,M,1.805539773,validation
61998_1,زباتك مخلوقة ملان الي ما كانت مكلڢتك شي ماه عندك ,M,3.562725322,validation
62003_1,من عند قصة الدار لذا كامل ألا شغال بون أنت مشكلتك ,M,3.999365079,validation
62007_1,علم خوك و صاحبك الي رابيين في بليدة و لا كط اجحدت عنك شي,M,3.918635587,validation
62013_1,"لا تكسح من أم تركتك اللا أم تركتك وتركتك اللا تركتك ومكانتك اللا محفوظالك. أرجع انت وتوف, اللي اخسر يصلح.",M,8.589375,validation
62025_1,الداه علنو جبرهالي و قالي علن وحدة كانت تجيني في العيادة دائما تعود مع بون ينقاله زين,M,7.079878398,validation
62027_1,ما يفتصلو دائما ف بلد,M,1.50228677,validation
62028_1,و هي دائما تجين في العيادة و حتى صوك أوردونانص ماو عنده و لا عنده شي يسو هو شنهو,M,4.387482993,validation
62059_1,شفت آن يخويا تميت هون انجي لبلي ونمشي.,M,5.667727273,validation
62100_1,والله يا ذاك اللي عدلنالها من شي صالح الل بلا جميل.,F,3.10625,validation
62105_1,و يشهد الي كط أرمى ذيك مخلوقة الله على أنو راميه بالباطل.,F,4.100612245,validation
62111_1,اسمع اسمع ذاك خليه عنك وهاي راعي لك شي اشطر منو,M,2.607230114,validation
62117_1,ايو انت اياك اللا تعرفي عني آن هو وكيلك ؟,M,1.998792614,validation
62120_3,مو اخباري حته في الحسانية. إن شاء الله الا نتفاهموا قاع إن شاء الله.,F,4.165,validation
62121_1,وتوڢ طڢل طويل ڢتبارك الله,F,2.827467811,validation
62180_1,ما هي دارو ذي دارنا كاملين نوكلوا و نشربوا و نريكيبيروا ملي,M,3.4971875,validation
62184_1,مذكر نهارك ذاك نتلفن لك تكبظ و تقطع في وجهي,M,3.113975927,validation
62192_2,ذ فاهمو فيديوهات ماكبظت ,M,1.522456814,validation
62205_1,عندي ذا الطلب هو علني اندور البضاعة تنزاد لي خصوصا علني آن ملي منافسيي عندهم كمية اكثر من الي انضخ آن في السوق,M,11.61439981,validation
62209_1,"عاكب ذا انت من امعدلك قكع انت امعدلك اللا محمدن وانا, انت كنت واحد من أهل البادية.",M,4.20828125,validation
62213_1,و الحب الي عايش وياهو,M,2.876079545,validation
62227_1,يا الي لا يطاطيه و لا يطول عمرو ، اسمعتي ؟ ماهو طبيعي,F,3.638636364,validation
62247_1,نحن عندنا الا السبة نسبوا و توف,M,2.06640625,validation
62251_1,لين نعود ليهي نجبر الفظة تواقطها جاهزين,M,3.220823864,validation
62260_1,هذا قلت لك هذا ما نكد نعطيه,M,1.15,validation
62294_2,ايو إن شاء الله ايو لا تنس ملي تطلب مولان لا يجيك حد يخوي يدبزك في ذا البوتيك,F,4.398764205,validation
62302_1,قومي كيسيه دور ألا يعطيهلك و اللا العاطي شي مولان كيمي ماشه توه,F,3.763106576,validation
62304_1,يخيتي ذاك مزال موجود و الا يسول عنك و راهوالك في الكبة,F,4.548579545,validation
62305_1,محيجيب ماتل عاطي مارو ولاتل عاطي الوركة ولاتل عاطي سبه افترت,M,3.353888144,validation
62310_1,اللا داخلة فم ماهو سبة,M,1.994758523,validation
62316_1,آن ما جبرت ش و لا حصلت على ش المردودية ما جبرت منها فايدة معطى ش ملي ماهو كيف الي هكذا,M,4.975952253,validation
62322_1,و الاخرى تكعرها بيك,M,2.617443866,validation
62328_2,ثانيا يا منتي قالو حكك أيديك و لمهم,F,4.092790381,validation
62335_1,يالل الامرة تعيد كل شي تعدل و آن ما بخلت لكم شي,F,2.884502414,validation
62349_1,الوالد جا وذا هو ما عن اليد طايحة وذا هوم احنا ما انكدو انعودو ماشين انظلو انباتو ما عندنا سبة ,F,6.738210227,validation
62368_1,يغير تكاس بعد لا تنعطب تكايس لا اطيح مانك قاد لشي على شي تكايس,F,5.208780177,validation
