id,annotations,created_at, Annotation results,text,updated_at
24,1,2024-06-09T22:21:41.705031Z,Negative,هاذ ظرك شنهو هي لاهاتف خليتون شكيت عنه صركت هي كاع هي بيه جوع كاع تشري واحد جديد خلي لخبار توف,2024-06-09T22:21:41.705031Z
25,1,2024-06-09T22:21:48.937498Z,Negative,لا كلها تعدل فضيحة وتكول نسرگت تلفوني ,2024-06-09T22:21:48.937498Z
26,1,2024-06-09T22:21:53.868898Z,Negative,مانكبلوها مانكبلوها,2024-06-09T22:21:53.868898Z
27,1,2024-06-09T22:22:04.338117Z,Neutral,ذ بيه اشطاره كامل ,2024-06-09T22:22:04.338117Z
28,1,2024-06-09T22:22:10.818785Z,Neutral,أوشو استفدن نحن من ذا الخبر ؟,2024-06-09T22:22:10.818785Z
29,1,2024-06-09T22:22:21.303324Z,Negative,واجع والله يامول الستر استرنا بسترك الجميل,2024-06-09T22:22:21.303324Z
30,1,2024-06-09T22:22:25.304150Z,Positive,اصل الصحه,2024-06-09T22:22:25.304150Z
31,1,2024-06-09T22:22:29.235818Z,Neutral,ذ شنهي فائدتو,2024-06-09T22:22:29.235818Z
32,1,2024-06-09T22:22:35.354125Z,Neutral,ذ ماهو خبر مفرغ شغلكم,2024-06-09T22:22:35.354125Z
33,1,2024-06-09T22:22:39.952836Z,Negative, مخمر تلفونها,2024-06-09T22:22:39.952836Z
34,1,2024-06-09T22:22:50.580108Z,Neutral,منهي ذي السيدة لو سمحتم؟,2024-06-09T22:22:50.580108Z
35,1,2024-06-09T22:22:55.622764Z,Negative,ذي المنصة صراحة دفااافة ولاخلات شي لشويبات اخرامز,2024-06-09T22:22:55.622764Z
36,1,2024-06-09T22:23:01.542383Z,Negative,لارده الله هذ هو الفيافى حك,2024-06-09T22:23:01.542383Z
37,1,2024-06-09T22:23:05.185137Z,Positive,الله اكبر,2024-06-09T22:23:05.185137Z
38,1,2024-06-09T22:23:08.905834Z,Positive,الله المستعان,2024-06-09T22:23:08.905834Z
39,1,2024-06-09T22:23:13.403749Z,Positive,أختطاف الا اليقوت بعد,2024-06-09T22:23:13.403749Z
40,1,2024-06-09T22:23:17.419672Z,Neutral,اختطاف الهاتف,2024-06-09T22:23:17.419672Z
41,1,2024-06-09T22:23:24.073833Z,Negative,هذا ماه خبر ايو وما بعد ذلك,2024-06-09T22:23:24.073833Z
42,1,2024-06-09T22:23:27.811766Z,Positive,الله يستر,2024-06-09T22:23:27.811766Z
43,1,2024-06-09T22:23:33.983286Z,Positive,نسأل الله السلامة والعافية,2024-06-09T22:23:37.372509Z
44,1,2024-06-09T22:23:41.752336Z,Neutral,ختطاف الهاتف بعد  هي طمها,2024-06-09T22:23:41.752336Z
45,1,2024-06-09T22:23:46.590571Z,Positive,كامل التضامن,2024-06-09T22:23:46.590571Z
46,1,2024-06-09T22:23:53.513925Z,Negative,علاش گاع تعدل صور خاصة,2024-06-09T22:23:53.513925Z
47,1,2024-06-09T22:23:57.722400Z,Positive,شفافة ,2024-06-09T22:23:57.722400Z
48,1,2024-06-09T22:24:02.877674Z,Positive,التوفيق,2024-06-09T22:24:02.877674Z
49,1,2024-06-09T22:24:08.872914Z,Negative,التزوير,2024-06-09T22:24:08.872914Z
50,1,2024-06-09T22:24:13.039504Z,Negative,المهزلة,2024-06-09T22:24:13.039504Z
51,1,2024-06-09T22:24:19.145249Z,Positive,خيرا,2024-06-09T22:24:19.145249Z
52,1,2024-06-09T22:24:21.784203Z,Neutral,أنت اش ݣلت,2024-06-09T22:24:21.784203Z
53,1,2024-06-09T22:24:26.392164Z,Negative,ألا استغفر الله,2024-06-09T22:24:26.392164Z
54,1,2024-06-09T22:24:29.195548Z,Negative,ماه مهم,2024-06-09T22:24:29.195548Z
55,1,2024-06-09T22:24:32.792185Z,Positive,دعواتكم في غنى عنها والحمدلله رب العالمين,2024-06-09T22:24:32.792185Z
56,1,2024-06-09T22:24:36.619833Z,Positive,اسكي حت الجد والنزاهة,2024-06-09T22:24:36.619833Z
57,1,2024-06-09T22:24:41.730964Z,Positive,إن شاء الله تعالى,2024-06-09T22:24:41.730964Z
58,1,2024-06-09T22:24:44.443557Z,Positive,ما شاء الله قلوبكم عامرة يغير اتقاو الله في حقوق المخالق,2024-06-09T22:24:44.443557Z
59,1,2024-06-09T22:24:47.922422Z,Positive,خيرا يكون,2024-06-09T22:24:47.922422Z
60,1,2024-06-09T22:24:50.977486Z,Positive,تقبل الله,2024-06-09T22:24:50.977486Z
61,1,2024-06-09T22:24:56.248382Z,Negative,إياكم والتزوير,2024-06-09T22:24:56.248382Z
62,1,2024-06-09T22:24:59.840900Z,Negative,إريح منكم,2024-06-09T22:24:59.840900Z
63,1,2024-06-09T22:25:04.525608Z,Positive,رانا شهدنا أنكم مواظبون على صلاة الجمعة و حسن التحضير لها و إن شاء الله بقية الأعمال تعود حاظره,2024-06-09T22:25:04.525608Z
64,1,2024-06-09T22:25:12.765609Z,Positive,الواعر لا تنكصُ شي من الصلاة,2024-06-09T22:25:12.765609Z
65,1,2024-06-09T22:25:17.241463Z,Negative,فظمة,2024-06-09T22:25:17.241463Z
66,1,2024-06-09T22:25:20.491967Z,Negative,لجنة الاصهار والاقارب ماعندها شِ امطريتُ ولا مصداقية لاختياراتها,2024-06-09T22:25:20.491967Z
67,1,2024-06-09T22:25:24.704953Z,Positive,قلبكم عامر بالإيمان,2024-06-09T22:25:24.704953Z
68,1,2024-06-09T22:25:32.599632Z,Negative,ما مرجي منكم خير,2024-06-09T22:25:32.599632Z
69,1,2024-06-09T22:25:35.442521Z,Negative,ماه مهم عندن,2024-06-09T22:25:35.442521Z
70,1,2024-06-09T22:25:38.284690Z,Positive,اتقوا الله على الأقل في يوم الجمعة ,2024-06-09T22:25:38.284690Z
71,1,2024-06-09T22:25:41.339457Z,Positive,ايو الجمعة بعد الا ركعتين الذاك,2024-06-09T22:25:41.339457Z
72,1,2024-06-09T22:25:49.606627Z,Neutral,إعادة الإنتخابات,2024-06-09T22:25:49.607660Z
73,1,2024-06-09T22:25:52.801908Z,Positive,مشرف ذاك ليهي تعدلو تبارك الله,2024-06-09T22:25:52.801908Z
74,1,2024-06-09T22:25:57.691127Z,Negative,أصل فظمه امتوميه حك,2024-06-09T22:25:57.691127Z
75,1,2024-06-09T22:26:00.746941Z,Negative,يا فظمه ,2024-06-09T22:26:00.746941Z
76,1,2024-06-09T22:26:03.457891Z,Positive,العافية,2024-06-09T22:26:03.457891Z
77,1,2024-06-09T22:26:09.775246Z,Negative,اطوالت ,2024-06-09T22:26:09.775246Z
78,1,2024-06-09T22:26:13.972388Z,Positive,مشرف ,2024-06-09T22:26:13.973429Z
79,1,2024-06-09T22:48:55.582349Z,Neutral,هي عيشه من نعت الها ادكيك,2024-06-09T22:48:55.582349Z
80,1,2024-06-09T22:49:32.551621Z,Negative,التظلمات ,2024-06-09T22:49:32.551621Z
81,1,2024-06-09T22:49:37.234287Z,Negative,التخبط ,2024-06-09T22:49:37.234287Z
82,1,2024-06-09T22:49:41.962545Z,Negative, التزوير الموثق,2024-06-09T22:49:41.962545Z
83,1,2024-06-09T22:49:46.671291Z,Negative,الخيانة,2024-06-09T22:49:46.671291Z
84,1,2024-06-09T22:49:51.678355Z,Positive,الموثق,2024-06-09T22:49:51.678355Z
85,1,2024-06-09T22:49:56.084156Z,Negative,إل كثّر ينفطل,2024-06-09T22:49:56.084156Z
86,1,2024-06-09T22:50:05.837731Z,Neutral,السؤال المطروح  هل سينتصر حزب الإنصاف على حزب الإصلاح غدا في المقاطعتين الموجودتين في ولاية أدرار,2024-06-09T22:50:05.837731Z
87,1,2024-06-09T22:50:11.472535Z,Negative,صادر حرية ,2024-06-09T22:50:11.472535Z
88,1,2024-06-09T22:50:14.340027Z,Positive,العافية اموكنه,2024-06-09T22:50:14.340027Z
89,1,2024-06-09T22:50:23.429705Z,Negative,اتزيدوها,2024-06-09T22:50:23.429705Z
90,1,2024-06-09T22:50:33.278855Z,Positive,مشرف جدا,2024-06-09T22:50:33.294546Z
91,1,2024-06-09T22:50:37.224547Z,Positive,مبروووووك ,2024-06-09T22:50:37.224547Z
92,1,2024-06-09T22:50:40.105019Z,Positive,اصل الصحة ,2024-06-09T22:50:40.105019Z
93,1,2024-06-09T22:50:43.778863Z,Positive,يعطيك الصحة ,2024-06-09T22:50:43.778863Z
94,1,2024-06-09T22:50:46.966875Z,Negative,ماه صالح,2024-06-09T22:50:46.966875Z
95,1,2024-06-09T22:50:51.512587Z,Neutral,قلبني ,2024-06-09T22:50:51.512587Z
96,1,2024-06-09T22:50:54.880190Z,Negative,ما,2024-06-09T22:50:54.880190Z
97,1,2024-06-09T22:50:59.181474Z,Negative,لا ,2024-06-09T22:50:59.181474Z
98,1,2024-06-09T22:51:02.498508Z,Negative,ماه,2024-06-09T22:51:02.498508Z
99,1,2024-06-09T22:51:05.787527Z,Negative,بلا ,2024-06-09T22:51:05.787527Z
100,1,2024-06-09T22:51:08.960709Z,Neutral,عدَّل ,2024-06-09T22:51:18.012101Z
101,1,2024-06-09T22:51:22.693641Z,Neutral,واجعة واجعه,2024-06-09T22:51:27.954311Z
102,1,2024-06-09T22:51:31.091089Z,Negative,الخزو,2024-06-09T22:51:31.091089Z
103,1,2024-06-09T23:06:08.990108Z,Negative,لحشمة,2024-06-10T18:37:00.328980Z
104,1,2024-06-09T23:19:40.651832Z,Negative,الفيافي,2024-06-09T23:19:49.364824Z
105,1,2024-06-09T23:20:06.458125Z,Negative,تصفاك ,2024-06-09T23:20:06.458125Z
106,1,2024-06-09T23:21:01.009601Z,Negative, لعياط,2024-06-09T23:21:01.009601Z
107,1,2024-06-09T23:21:05.450614Z,Negative,خليتون,2024-06-09T23:21:05.450614Z
108,1,2024-06-09T23:21:09.954427Z,Negative,خلاون,2024-06-09T23:21:09.954427Z
109,1,2024-06-09T23:21:14.149114Z,Negative,أخله ,2024-06-09T23:21:14.149114Z
110,1,2024-06-09T23:21:17.731598Z,Negative,يخله,2024-06-09T23:21:17.731598Z
111,1,2024-06-09T23:21:20.826872Z,Negative,منخلع,2024-06-09T23:21:20.826872Z
112,1,2024-06-09T23:21:25.396217Z,Positive,أفضل ذ كاع,2024-06-09T23:21:25.396217Z
113,1,2024-06-09T23:21:30.537451Z,Neutral,للاهي يعدل عدلو ,2024-06-09T23:21:30.537451Z
114,1,2024-06-09T23:21:36.482526Z,Positive,اصل الصحة,2024-06-09T23:21:36.482526Z
115,1,2024-06-09T23:21:39.944953Z,Positive, الصحه,2024-06-09T23:21:39.944953Z
116,1,2024-06-09T23:21:43.159665Z,Positive,مبروك,2024-06-09T23:21:43.159665Z
117,1,2024-06-09T23:21:46.202419Z,Positive,وخيرت,2024-06-09T23:21:46.202419Z
118,1,2024-06-09T23:21:49.782626Z,Negative,ورخست,2024-06-09T23:21:49.782626Z
119,1,2024-06-09T23:21:53.370086Z,Negative,دحسه,2024-06-09T23:21:53.370086Z
120,1,2024-06-09T23:21:56.794563Z,Negative,دحستون,2024-06-09T23:21:56.794563Z
121,1,2024-06-09T23:22:01.182562Z,Negative,رامدين,2024-06-09T23:22:01.182562Z
122,1,2024-06-09T23:22:04.632512Z,Positive,زين,2024-06-09T23:22:04.632512Z
123,1,2024-06-09T23:22:12.829789Z,Positive,مزين ذ ,2024-06-09T23:22:12.829789Z
124,1,2024-06-09T23:22:16.116111Z,Positive,أسكي,2024-06-09T23:22:16.116111Z
125,1,2024-06-09T23:22:18.763426Z,Positive,ذوقي ,2024-06-09T23:22:18.763426Z
126,1,2024-06-09T23:22:22.349371Z,Negative,بلا فايدة,2024-06-09T23:22:22.349371Z
127,1,2024-06-09T23:22:27.675341Z,Positive,متعدل ,2024-06-09T23:22:34.807717Z
128,1,2024-06-09T23:22:31.155988Z,Positive,التعدال ,2024-06-09T23:22:31.155988Z
129,1,2024-06-09T23:22:41.092020Z,Positive,بطل,2024-06-09T23:22:41.092020Z
130,1,2024-06-09T23:22:44.058059Z,Positive,النجاح,2024-06-09T23:22:44.058059Z
131,1,2024-06-09T23:22:47.133384Z,Negative,الشين,2024-06-09T23:22:47.133384Z
132,1,2024-06-09T23:22:55.233703Z,Negative,شوين ,2024-06-09T23:22:58.567150Z
133,1,2024-06-09T23:23:09.437636Z,Negative,واعر ,2024-06-09T23:23:09.437636Z
134,1,2024-06-09T23:23:13.234370Z,Negative,صعيب,2024-06-09T23:23:13.234370Z
135,1,2024-06-09T23:23:16.641788Z,Negative,مايورط,2024-06-09T23:23:16.641788Z
136,1,2024-06-09T23:23:19.701856Z,Negative,الصرك,2024-06-09T23:23:19.701856Z
137,1,2024-06-09T23:23:22.849625Z,Negative,سريريك ,2024-06-09T23:23:22.849625Z
138,1,2024-06-09T23:23:26.147679Z,Negative,أطراطيك,2024-06-09T23:23:26.147679Z
139,1,2024-06-09T23:23:30.274662Z,Negative,الكذب,2024-06-09T23:23:30.274662Z
140,1,2024-06-09T23:23:33.683391Z,Negative,لكذيب ,2024-06-09T23:23:33.683391Z
141,1,2024-06-09T23:23:36.968115Z,Negative,زفيط ,2024-06-09T23:23:36.968115Z
142,1,2024-06-09T23:23:39.918926Z,Positive,إبرك ,2024-06-09T23:23:39.919924Z
143,1,2024-06-09T23:23:42.801655Z,Positive,يبارك,2024-06-09T23:23:42.801655Z
144,1,2024-06-09T23:23:47.890371Z,Negative,خالين,2024-06-09T23:23:47.890371Z
145,1,2024-06-09T23:23:54.007256Z,Negative, خالي ,2024-06-09T23:23:54.007256Z
146,1,2024-06-09T23:23:57.311131Z,Negative,أتفو ,2024-06-09T23:23:57.311131Z
147,1,2024-06-09T23:24:01.379375Z,Negative,يطيرهم ,2024-06-09T23:24:01.379375Z
148,1,2024-06-09T23:24:05.545518Z,Negative,يخليهم,2024-06-09T23:24:05.545518Z
149,1,2024-06-09T23:28:22.280008Z,Negative,يعطيهم فرق ,2024-06-09T23:28:22.280008Z
150,1,2024-06-09T23:28:27.204858Z,Negative, يكتلهم ,2024-06-09T23:28:30.306842Z
151,1,2024-06-09T23:28:33.494551Z,Negative,راخي ,2024-06-09T23:28:33.494551Z
152,1,2024-06-09T23:28:37.885977Z,Positive,طول عمر ,2024-06-09T23:28:37.885977Z
153,1,2024-06-09T23:28:42.898879Z,Negative,يفظحن ,2024-06-09T23:28:42.898879Z
154,1,2024-06-09T23:28:47.088484Z,Neutral,كونكسيوه اينت لاهي ترجع ؟,2024-06-09T23:28:47.088484Z
155,1,2024-06-09T23:28:52.937763Z,Negative,كامل الفشل لهذ الحكومة فشل وراء فشل,2024-06-09T23:28:52.937763Z
156,1,2024-06-09T23:28:57.555287Z,Positive,الله يحفظك معالي وزير الداخلية,2024-06-09T23:28:57.555287Z
157,1,2024-06-09T23:29:00.440668Z,Positive,شكرا,2024-06-09T23:29:00.440668Z
158,1,2024-06-09T23:29:07.094049Z,Neutral,وماذا عن أمن المواطنين ماتكلتمتو عنو,2024-06-09T23:29:07.094049Z
159,1,2024-06-09T23:29:10.826773Z,Positive,حفظ الله بلادنا من كل مكروه,2024-06-09T23:29:10.826773Z
160,1,2024-06-09T23:29:13.522973Z,Positive,هذا واضح,2024-06-09T23:29:13.522973Z
161,1,2024-06-09T23:29:19.213795Z,Negative,الأمن يواجعه ماتل خالك ,2024-06-09T23:29:19.213795Z
162,1,2024-06-09T23:29:24.745380Z,Neutral,ألا سولو لنا ,2024-06-09T23:29:24.745380Z
163,1,2024-06-09T23:29:30.615434Z,Positive,وفقكم الله لمًا فيه الخير للبلاد والعباد ونرجو حفظ الأمن,2024-06-09T23:29:30.615434Z
164,1,2024-06-09T23:29:35.976052Z,Positive,حسبنا الله ونعم الوكيل,2024-06-10T18:37:11.229209Z
165,1,2024-06-09T23:29:40.039521Z,Positive,اهيه ذاك معلوم,2024-06-09T23:29:40.039521Z
166,1,2024-06-09T23:29:42.941039Z,Positive,حفظكم الله وأعانكم,2024-06-09T23:29:42.941039Z
167,1,2024-06-09T23:29:49.322716Z,Negative,ألا السيبة,2024-06-09T23:29:49.322716Z
168,1,2024-06-09T23:29:52.863338Z,Positive,الحمد لله,2024-06-09T23:29:52.863338Z
169,1,2024-06-09T23:29:57.013587Z,Positive,حفظ الله بلادنا من مكروه,2024-06-09T23:29:57.013587Z
170,1,2024-06-09T23:30:00.842672Z,Positive,نسأل الله السلامة والعافية حفظ الله بلادنا وبلاد المسلمين,2024-06-09T23:30:00.842672Z
171,1,2024-06-09T23:30:08.795934Z,Positive,أمننا فوق الجميع لا للتخريب والعنف,2024-06-09T23:30:08.795934Z
172,1,2024-06-09T23:30:13.461095Z,Positive,الأمن فوق الجميع وللجميع,2024-06-09T23:30:13.461095Z
173,1,2024-06-09T23:30:17.226176Z,Positive,الأمن قبل كل شيئ,2024-06-09T23:30:17.226176Z
174,1,2024-06-09T23:30:21.095326Z,Positive,يكفي امن الوطن خط احمر,2024-06-09T23:30:21.095326Z
175,1,2024-06-09T23:30:25.241329Z,Positive,شخصية مفعمة بالانسانية و النبل رجل وقور و شهم,2024-06-09T23:30:25.241329Z
176,1,2024-06-09T23:30:28.668540Z,Positive,نحن معاك,2024-06-09T23:30:28.668540Z
177,1,2024-06-09T23:30:33.526494Z,Positive,بالتوفيق,2024-06-09T23:30:33.526494Z
178,1,2024-06-09T23:30:36.493017Z,Negative,قطعو رزوه,2024-06-09T23:30:36.493017Z
179,1,2024-06-09T23:30:41.396271Z,Neutral,ردونا الإنترنت نسلم اعل أهلنا,2024-06-09T23:30:41.396271Z
180,1,2024-06-09T23:30:44.894888Z,Neutral,ركزو اشوي,2024-06-09T23:30:44.894888Z
181,1,2024-06-09T23:30:48.844178Z,Neutral,ذ معناه شنه,2024-06-09T23:30:48.844178Z
182,1,2024-06-09T23:30:57.052273Z,Negative,معالي الوزير مايعرف اشلاهي ايگول,2024-06-09T23:30:57.052273Z
183,1,2024-06-09T23:31:01.149351Z,Negative,كامل الخلعة,2024-06-09T23:31:01.149351Z
184,1,2024-06-09T23:31:04.863915Z,Negative,شمعجلكم,2024-06-09T23:31:04.863915Z
185,1,2024-06-09T23:31:14.086192Z,Positive,اتكلمو مانكم خايفين نحن معاكم,2024-06-09T23:31:14.086192Z
186,1,2024-06-09T23:31:21.318564Z,Negative,تعدى اعل شرطي,2024-06-10T18:37:21.305841Z
187,1,2024-06-09T23:31:29.899188Z,Neutral,أياك خير,2024-06-09T23:31:29.899188Z
188,1,2024-06-09T23:31:32.820383Z,Neutral,اشكيف ذاك,2024-06-09T23:31:32.820383Z
189,1,2024-06-09T23:31:37.084990Z,Neutral,القضية متينة,2024-06-09T23:31:37.084990Z
190,1,2024-06-09T23:31:42.506473Z,Neutral,بالكم للكتابة,2024-06-09T23:31:42.506473Z
191,1,2024-06-09T23:31:47.217215Z,Positive,بالتوفيق,2024-06-09T23:31:47.217215Z
192,1,2024-06-09T23:31:51.673954Z,Neutral,هذا شنه؟,2024-06-09T23:31:51.673954Z
193,1,2024-06-09T23:31:59.537948Z,Neutral,الصفحة أياك ماهي مقرسنه,2024-06-09T23:31:59.537948Z
194,1,2024-06-09T23:32:05.297967Z,Neutral,على الأقل تم صوروهم صور زينين,2024-06-09T23:32:05.297967Z
195,1,2024-06-09T23:32:11.530913Z,Negative,ههه ذ عادت الخلعه,2024-06-09T23:32:11.530913Z
196,1,2024-06-09T23:32:14.739016Z,Neutral,تم,2024-06-09T23:32:14.739016Z
197,1,2024-06-09T23:32:21.334526Z,Negative,هذ بعد الصورة المكبرة فيه سخرية تم طرح بالكم للصور الي اتعدل,2024-06-09T23:32:21.334526Z
198,1,2024-06-09T23:32:28.756288Z,Positive, يجب وقف جميع  المشاركين في القضيه,2024-06-09T23:32:28.756288Z
199,1,2024-06-09T23:32:34.058201Z,Neutral,في الانتظار ان شاء الله,2024-06-09T23:32:34.058201Z
200,1,2024-06-09T23:32:37.337445Z,Positive,في الانتظار بشرك الله بخير أنشأ الله,2024-06-09T23:32:37.337445Z
201,1,2024-06-09T23:32:40.917448Z,Negative,يوضع وزير الداخلية,2024-06-09T23:32:40.917448Z
202,1,2024-06-09T23:32:45.537830Z,Negative,معالى  الفساد والاستبداد  والترهيب,2024-06-09T23:32:45.537830Z
203,1,2024-06-09T23:32:49.204820Z,Positive,يلالي يذ من شي حݣ,2024-06-09T23:32:49.204820Z
204,1,2024-06-09T23:32:53.104597Z,Positive,جزاالله خيرا معالي الوزير إل طمأن اعل حالت الوطن,2024-06-09T23:32:53.104597Z
205,1,2024-06-09T23:32:58.604529Z,Negative,نقطة صحفية بلا معلومات ,2024-06-09T23:32:58.604529Z
206,1,2024-06-09T23:33:05.791867Z,Neutral,ما الذي يحدث ,2024-06-09T23:33:05.791867Z
207,1,2024-06-09T23:33:09.390785Z,Negative,كذبة حمرة,2024-06-09T23:33:09.390785Z
208,1,2024-06-09T23:33:13.757234Z,Negative,ماعندهم ش اجديد,2024-06-09T23:33:13.757234Z
209,1,2024-06-09T23:33:21.624333Z,Neutral,المستشارون ماعندهم كونكسيوه ألا مدة اتمشيلهم بلاغ أرعاوهم لايتردو,2024-06-09T23:33:21.624333Z
210,1,2024-06-09T23:33:28.107364Z,Negative,ولاية كَيدي ماغه غير معنية ,2024-06-09T23:33:28.107364Z
211,1,2024-06-09T23:33:34.811121Z,Negative,انتوم لاهي اتنصب مجالس مافات المجلس الدستور كال قرار في الإنتخابات,2024-06-09T23:33:34.811121Z
212,1,2024-06-09T23:33:39.485368Z,Neutral, مشولهم بلاغ في الإذاعة,2024-06-09T23:33:39.485368Z
213,1,2024-06-09T23:33:44.837786Z,Neutral,كيدي ماغة مؤجله إلين أينت,2024-06-09T23:33:44.837786Z
214,1,2024-06-09T23:33:49.130243Z,Neutral,هوم اثر فم مجالس جهوية ماهم هذ الل ذكرت؟؟,2024-06-09T23:33:49.130243Z
215,1,2024-06-09T23:33:55.774588Z,Negative,كوما لاهي إشوف هاذ ونتوم گاطعين عنهم لنترنت,2024-06-09T23:33:55.774588Z
216,1,2024-06-09T23:33:59.887672Z,Negative,كافيكم هذا من احتقار المواطن البسيط وطلص لهم الإنترنت,2024-06-09T23:33:59.887672Z
217,1,2024-06-09T23:34:05.938950Z,Positive,مشولهم مرسول,2024-06-09T23:34:05.938950Z
218,1,2024-06-09T23:34:10.021508Z,Negative,گاطعين عنهم كنكسيوه,2024-06-09T23:34:10.021508Z
219,1,2024-06-09T23:34:15.828927Z,Neutral,هوم منهوم,2024-06-09T23:34:15.828927Z
220,1,2024-06-09T23:34:19.098025Z,Neutral,اثرهم جاو,2024-06-09T23:34:19.098025Z
221,1,2024-06-09T23:34:22.313200Z,Negative,احتقار المستهلك,2024-06-09T23:34:22.313200Z
222,1,2024-06-09T23:34:25.932366Z,Neutral,كافيكم ذ من الجوق,2024-06-09T23:34:25.932366Z
223,1,2024-06-09T23:34:29.557884Z,Neutral,ذ امنين,2024-06-09T23:34:33.742018Z
224,1,2024-06-09T23:34:37.793759Z,Neutral,برد اعلينه,2024-06-09T23:34:37.793759Z
225,1,2024-06-09T23:34:42.031671Z,Neutral,المكان بالتحديد,2024-06-09T23:34:42.031671Z
226,1,2024-06-09T23:34:45.172474Z,Neutral,هاذ لخبر لو شي,2024-06-09T23:34:45.172474Z
227,1,2024-06-09T23:34:49.274229Z,Negative,ما انخلعت الطاولة,2024-06-09T23:34:49.274229Z
228,1,2024-06-09T23:34:54.912018Z,Positive,لاحكتهم,2024-06-09T23:34:54.912018Z
229,1,2024-06-09T23:35:02.907923Z,Neutral,ياك ل الغزواني فيهم,2024-06-09T23:35:02.907923Z
230,1,2024-06-09T23:35:12.927640Z,Negative,ذاك فاصلين فيه يغير المشكله الطاويلة لاهي يرجعوله الا اهله,2024-06-09T23:35:12.927640Z
231,1,2024-06-09T23:35:16.049081Z,Negative,أح ما اطر ش,2024-06-09T23:35:16.049081Z
232,1,2024-06-09T23:35:26.066122Z,Negative,الطاويله ممسحوحه كانت,2024-06-09T23:35:26.066122Z
233,1,2024-06-09T23:35:30.280032Z,Negative,اح متن واخلينه,2024-06-09T23:35:30.280032Z
234,1,2024-06-09T23:35:38.180098Z,Negative,أصل ماهي واجعة,2024-06-09T23:35:38.180098Z
235,1,2024-06-09T23:35:44.443473Z,Negative,ذاك كامل متبرك,2024-06-09T23:35:44.443473Z
236,1,2024-06-09T23:35:50.546087Z,Negative,اكبيل يمسحوك انت هو لأول,2024-06-09T23:35:50.546087Z
237,1,2024-06-09T23:35:59.602910Z,Positive,حݣ الله يجعل ملك حايصه من فمك,2024-06-09T23:35:59.602910Z
238,1,2024-06-09T23:36:03.350808Z,Neutral,أي المطاعم,2024-06-09T23:36:03.350808Z
239,1,2024-06-09T23:36:10.237814Z,Neutral,ألا ايسبكوه فيك انت,2024-06-09T23:36:10.237814Z
