english,hassaniya-ar,hassaniya-en
Do you want fruit juice?,ادور عصير من الفاكهة؟,dour 3esir mn lvakhe?
"The password is ""Ahmed"".","مودباس هو ""أحمد""",Mot de passe houwe 'Ahmed' 
Your sister enjoys watching Elmedeh on Al Mauritaniya.,أختك تبقي تخراص المدح على الموريتانية,5tek teb9i te5ras lmede7 3le lmouritaniye
Switzerland is a beautiful country.,سويسرا بلد زين,sweysra bled zeyn
Suddenly rain began to fall.,فجاه جات السحاب,vej2e jat s7ab
Every effort deserves a reward.,كل جهد يستحق كاضُو,kel jehed yeste7e9 kadou
That won't help you.,هذا ماه لاهي يعاونك,ha4a maho lehi y3awnak
I knew it was plastic but it tasted like wood.,كنت نعرف انه معدل من كاوتش يكون طعمته كيف طعمت لحطب,kent ne3rev 2enhe mou3edle mn kawetchou yekoun 6e3methe kive 6e3met le76eb
Have you finished it?,وفيت؟,weveytou?
Are you good at tennis?,شماسي فلعب التنس؟,chemassi v le3b tennis?
I dislike being alone.,ما نبغي نعود وحدي,manibghi n3oud wa7di
Sami can relax.,سامي يگد يستراح,sami ygued yestra7
Aziz has bought a house which has six rooms.,عزيز شرى دار فيها ست بيوت,3aziz chra dar vihe set byout
The film lasted 2 hours.,فوت افلم ساعتين,vewet film sa3teyn
I can't explain it either.,مانگد نشرحه اكثر,manged nechre7 2kther
What's your job?,تشتغل فاش؟,techtghal v ach?
Ahmed got up early in order to catch the first train.,أحمد اوع معصباح ياك يلحگ اول قطار,Ahmed w3e m3esba7 yak yel7eg 2ewel 9i6ar
There was love and respect.,كان فم معزة واحترام,kan vem me3eze w7tiram
He is young and immature.,هو اسقير ولاه فايق,Houwe s9eyer w lahou vaye9
"Hi, I just wanted to let you know that the problem is fixed.","السلام عليكم, بغيت انگولك ان المشكيلة انحلت","salamou 3eleykuom, b9eyt ngoulek 3en lmechkile n7elet"
I was late because of the rain.,اتأخرت بي السحاب,t25rt biye s7ab 
The war ended in 1954.,وفات الحرب عام 1954,wvat l7arb 3am 1954
I didn't mean to do that.,ماني قاصدها,mani 9assdhe
What's your home address?,شنهو عنوان دارك؟,chinhouwe 3inwan darak
I'm going to save more money.,اندور نحصل فظه اكثر,2ndor n7esel va8a 2kther
We found the front door locked.,اجبرنا الباب الگدامي مگفول,jbarne lbab lgidami megvoul
Mind your own business!,لا تدخل افشي ما يعنيك,la ted5el vchi ma ye3nik
She's in trouble.,هي واحلة وحلة شنيعة,hiye wa7la wa7la cheni3a
Picasso is a famous artist.,بيكاسو فنان مشهور.,picasso venan mechhour
Please make the bed.,حگل ناظر فراش متكاك,7agalla na8er vrach metkak
Someone is calling you.,يدورك حد فتلفون,ydorak 7ad v telephone
Please show me your injured arm.,نعتلي اذراعك المجروح حگلل,n3atly 24ra3k 2lmejrou7 7agll
I miss you badly.,توحشتك حت,Twa7achtk 7att
I'm looking forward to your visit during summer vacation.,انحني امجيتك في الراحه,n7ani 2mjitk vi ra7a
I do not like science.,ما نبغي اسيانص,manibghi science 
Sami needs to rest.,سامي فاصل فالراحة,sami vassel v ra7a
I took the book.,گبظت كتاب,Gbe8et ktab 
Translate the underlined part.,ترجم ذا اللي تحتو خط,teljem 4e li ta7tou 5a6
Those books are mine.,هاذو كتوبي,ha4ou ktoubi
I'll call you back later.,ندور مزلت نتلفن عليك,ndor mezlt ntelven 3lik
Do you like praise?,تبقي المدح؟,teb9i lmede7?
I can't allow you to do that.,مانقد نسمح لك تعدل ذا,Mangd nesma7 lk t3adel 4e
Can you play the piano?,انت تعرف خبيط بيانو؟,enta ta3rav 5bi6 piano?
I want to see you again.,يالتنا نجابرو مرة أخرى,yaletne nejabrou mere 5ra
"She likes animals, you know?",اراهيالك تبغي الحيوانات,2rahyalk tbghi 2l7ywanat
You're not old enough to get a driver's license.,گدك ما فات عاد يگبظ برمة,guedak mavat 3ad yagaba8 perma
I have only half as many books as he.,عندي ألا نص ال عندو من لكتوب,3andi ela nes eli 3andou mn lektoub
The fact cannot be denied.,شي ثابت ما يگد ينكرو حد,chi thabt ma ygued yenkrou 7ad
She plays Dhamet every weekend.,هي تلعب ظامت كل ديماس,Hiye tel3eb 8amet kel dimas
The river is wide.,الواد واسع,elwad wass3
Dah isn't old enough to understand this.,الداه ما فات لحگو يفهم ذا ,Dah mavat la7gou yevhem 4e 
You may go anywhere.,اتگد ادگيس بل امنين ابقيت,tged dgis bel mneyn b9eyt
Don't worry about it.,لا يشطنك ذ,la yach6nak 4e
You seem an honest man.,اتبان راجل ما يكذب,tban rajel ma yek4eb
I gave him all the money I had.,عطيتو ال عندي من الفظة,36eytou el 3andi mn lva8a
Take a rest.,استراح,2stra7
"Oh, my God!",ياربي اص !,yarabi 2ssa!
Rats carry the plague.,الفيران يرفدو الطاعون,lviran yrvdou 6a3oun
Beyond that I cannot help you.,ما نگد نعدلك شي فوگ ذ,mangued n3adalak chi vog 4e
Call the police!,تلفن لبوليس !,telven l police!
It was such a shock.,كانت صدمة كبيرة,kant sadme kbira
Sami had skeletons in his closet.,سامي كان جاحد شيات,sami kan ja7ed chiyat
Every person who is alone is alone because they are afraid of others.,"مايعود حد زايغ, ماه زايغ بيه الخوف من الناس","ma y3oud 7ed zaye9, mahou zaye9 bih 2l5ewv mn 2nas"
You'll learn how to do it sooner or later.,ادور تتعلم اشكيف اتعدله بالعجل ول برخا,dour tet3elem chkiv t3edelhe bel3ejle wele ber5e
How many are there in your class?,كم من تلميدي امعاك فالقسم؟,kem mn telmidi m3ak vl9esem?
Why did you come to Japan?,لاش گست اليابان؟,lach guest lyaban?
I was in Tokyo yesterday.,كنت فطوكيو يامس,Kent v 6oukyo yames
Is there any danger?,فم فيه اي خطر؟,vem vih ey 56r
Will you lend me your dictionary?,اتگد تعريلي معجمك؟,tged te3rili mou3jemek?
This time I'm paying.,هاذي المرة لهي نلعب,ha4i 2lmara lehi nel3ab
The rain lasted four days.,السحاب فوتت اربعة ايام ماشه  ,s7ab vewtet rba3t eyam mache  
When are you going to do that?,اينت لاه اتعدل ذاك؟,2ente lahi t3edel 4ak?
That won't happen.,ذاكْ ماه لاه يخلگ,4ak mahou lahi ye5leg
I met her by chance on the train the day before yesterday.,اجبرتها صدفه اف گارب السبت ونامس,jbarthe soudve v garbsbt wenamss
Please help me take this down.,عاوني فتگظاظ ذي الى التحت حگل,3aweni v teg8a8 4i 2ile te7et 7egele
Why were you late?,لاش جيت متگاعس؟,lach jeyt metga3ess?
Can I pay by credit card?,انگد انخلص اب كارت؟,nged n5eles b cart?
The car is ready.,الوتة جاهزة,lweta jahza
They are waiting for you in front of the door.,يحانوك گدام الباب,y7anouk gedam lbab
Any activity you need to accomplish will take more time than you have.,اي شي هامك اتعدله لاه يگبظ منك وقت اكثر من لي عندك,2ey chi hamek t3edlou lahi yegbe8 menek we9et kther mn li 3endek
What a surprise!,هذي مفاجأه!,ha4i mouvaje2e
I hate the internet.,مانگد عل لنترنت,Manged 3le lenternet
That's your responsibility.,ذيك مسؤوليتك ,4ik mes2ouliytak
I don't want to wait that long.,ماندور انحاني ذ كامل من الوقت,mandour 2n7ani 4e kamel mn lwa9et
I will accompany you.,لاه انسيفطك,lahi 2nseyv6k
Do you have a pen on you?,عندك اقلم؟,3endek 9lem?
The story has in it something of the element of tragedy.,لمردة فيها شي من التراجيديا,lmreda vihe chi mn tragidiya
Where is the laundry?,لغسيل منين؟,lighssil mneyn
Professor Ito went to the United States for the purpose of studying linguistics.,بروف امش شور آمريك اياك يگرى لينجيستيك,prof 2mche chor amrik iyak yegra Linguistique
There is no fire without smoke.,ما خالگه نار من دون دخان,ma5alge nar mn doun de5an
You must do your duty.,يالل تعدل واجبك,yall t3adel wajbk
He lost his eyesight.,ماتل يراعي فشي,matle yra3i vchi
Nessiba is afraid of dogs.,نسيبة خايفة من الأكلاب,Nessiba 5ayve mn leklab
A mother kissed the child., ام حبت اطفيل,2m 7abt 26feyl
I want to live at home with my family.,نبغي نسكن فالدار مع أهلي,nebghi nesken v dar m3a ehli
It isn't new.,ماهو جديد,maho jdid
"At first, it is difficult.",صعيبة من الأول,sa3iba mn lewl
I felt as if my life had been shortened.,حسيت ان حياتي گصارت,7asayt 3n 7ayati gsaret
Your glasses fell on the floor.,طاح بصراتك عل الدص,6a7ou beseratek 3le des
Betty was the first girl who came to the party.,بتي هي الاولى جات للندوية,Betty hiye lewla jat le nedwiya
Let's split.,وهاي نتفرگ,Wehay netvergou 
Would you like me to call a taxi?,تبغي نگبظلك تاكسي,tebghi nagba8lak taxi
The stormy weather was dreadful.,جو الزعفيگة كان يخلع,jew ze3veyga kan ya5la3
Amadu helped me.,آمادو عاوني ,Amadou 3awinni
No one loves war.,ما خالگ حد يبقي الحرب,Ma5aleg 7ed yeb9i l7ereb
"With your help, I could succeed.",امع ايعانتك انگد ننجح,"2m3a i3antk , 2ngd nenj7"
You should stay in bed.,يالل تم تاكي,yall tem taki
I'll stand by you whatever happens.,اندور نساندك يسوى اللي خلگ,ndor nsandk yesswe li 5lg
That wasn't my intention.,ذاك ماه هو الكنت عيني اعليه,4ak mahou houwe 2likent 3eyni 3lih
My eyes hurt.,عيني يوجعوني,3ayniya yewj3ouni
"If I were in your situation, I would do the same thing.",لكنت افبلك انعدل نفس شي,lekent vbelek n3edel nevs chi
I'm tired now.,انا تعبان ظرك,ane ta3ban 8ark
"Chicken, please.",الديوك حگل,edyouk 7agalla
Most students come to school on foot.,ياسر من التلاميد يجو للمدرسة متواطين,yaser mn tlamid yjou lel medrasa metwa6yin
How long did you wait?,كم لك اتحاني؟,kem lek t7ani?
"Even though I was sitting in the sun, I still felt chilly.",مع اني كنت گاعد تحت الشمس تميت الا حاس بالبرد,m3a enni kent ga3d ta7t chemss temyt ela 7ass bl berd
It is impossible to master English in a year or so.,مستحيل حد يتقن لانگليزيه ف عام واحد,mousta7il 7ad yet9n lingliziye v 3am wa7d 
I admire you for your courage.,عاجبني فيك اتفگريشك,3ajebni vik tvegriychek
The writer is very humorous.,الكاتب مشعور,elkatib mech3our
The stock market has dropped today.,اسعار البورصه اليوم طايحه,les3ar lbourssa lyoum 6ay7a
What is your favorite meal?,شنه اكثر اطعام تبقيه؟,shinhu 2kther 63am teb9ih?
My driving instructor says I should be more patient.,ذا اللي يعلمني السياقه گالي اني يالل نعود صبار حت,4e li y3alemni siya9a gali ini yall n3ud sabar 7att
"Turn on the light, please.",حگل اگدي الظو,7agalla gdi 8aw
Please come as soon as possible.,حگل اتعال بالعجلة,7agalla t3ala bl3ajla
May I say something?,انگد انگول شي؟,ngd ngoul chi ?
We will discuss that later.,اندور نتناقشو فذاك من بعد,dor netna9chou v 4e mn ba3d
I'd give you more if I could.,اندور نعطيك زيادة إلا گديت,2endor ne36iyk zeyade 2ila gedeyt
She is friendly to everybody.,هي معيدل مع الناس كاملة,Hiye m3eydle m3e nas kamle
My name is isselmou.,اسمي ايسلمو,esmi isselmou
By whom was the island discovered?,من اكتشف ذي الجزيرة,mn ektechv 4i ljezira?
"Don't hang up yet, please.",لا تگطع عني حگلل,la tg6a3 3ni 7agll
Mouhamed smiled.,محمد اتبسم,mo7amed 2tbesem
You don't know who I am.,انت ماتعرفني,2ente ma te3revni
No problem at all!,ما في اي مشكله ,mavi ey mouchkile
The spy burned the papers.,الجاسوس شعل التواغط,ljasous cha3al twa9e6
"Theoretically, I'm doing math.","نظريا, ذلي انعدل مرتبط بالرياضيات","ne8eriyen, 4eli 2n3edel mertebe6 be riyadiyat"
You should sleep.,يالتك ترگد,yaltek terged
You may come if you like.,وهاي لعدت تبغي ,wehay le3idt tibghi
I saw her enter the room.,شفته تدخل البيت,Chevethe ted5el lbeyt 
Aziz keeps a black cat.,عزيز مربي نوصة كحلة,3aziz mrabi nossa ka7la
We took the enemy by surprise.,فاجأنا لعدو,vaj2ne li3dou
How was your vacation?,اشكيف كانت راحتك؟,2chkiv kanet ra7tk?
What doesn't kill me makes me stronger.,ذا اللي ما يكتلني يمتني,4e li ma yekltilni ymeteni
Vayza dances very well.,فايزة رگاصة,Vaysa ragassa
I may give up soon and just nap instead.,انگد انخلي ذَ الواحلْ فيه و نَغْفَ شوي,2nged 2n5ali 4eli wa7el vih w neghva chwey
