english,hassaniya_ar,hassaniya_en,bucket,source,context
I am sleepy,Ana nacsaan,Ana nacsaan,everyday_chat,youtube_language_beat,feeling
I don't like coffee,Ana ma nbghi kave,Ana ma nbghi kave,everyday_chat,youtube_language_beat,preference
I like tea,Ana nbghi etaay,Ana nbghi etaay,everyday_chat,youtube_language_beat,preference
I work,Ana neshghal,Ana neshghal,everyday_chat,youtube_language_beat,action
I study,Ana nagra,Ana nagra,everyday_chat,youtube_language_beat,action
I eat,Ana newkel,Ana newkel,everyday_chat,youtube_language_beat,action
Peace be upon you,As-salamu alaykum,As-salamu alaykum,everyday_chat,youtube_language_beat,greeting
How are you?,Shhalek?,Shhalek?,everyday_chat,youtube_language_beat,greeting
My name is Sidi,Ana esmi Sidi,Ana esmi Sidi,everyday_chat,youtube_language_beat,self_introduction
I am from Mauritania,Ana men Muritan,Ana men Muritan,everyday_chat,youtube_language_beat,self_introduction
I am a teacher,Ana garraay,Ana garraay,everyday_chat,youtube_language_beat,self_introduction
كيف حالك - How are you?,اشحالك,esh7alak,everyday_chat,mo3jam_dictionary,vocabulary
"How are you, brother?",اشحالك يا اخي,ach7alk ya a5y,everyday_chat,mo3jam_dictionary,example_sentence
start/begin,ابداي,abdai,everyday_chat,mo3jam_dictionary,vocabulary
give it to me,اتينه,atinah,everyday_chat,mo3jam_dictionary,vocabulary
what's up/what's happening,اشطاري,ashtari,everyday_chat,mo3jam_dictionary,vocabulary
what are you doing,اشواعد,ashwa3d,everyday_chat,mo3jam_dictionary,vocabulary
leg/foot,اكراع,akra3,everyday_chat,mo3jam_dictionary,vocabulary
Second white month (Hassaniya calendar),الأبيظ الثاني,al-abyad al-thani,everyday_chat,mo3jam_dictionary,vocabulary
First white month (Hassaniya calendar),الابيظ الاول,al-abyad al-awwal,everyday_chat,mo3jam_dictionary,vocabulary
Hijri months in Hassaniya dialect,الأشهر الهجرية بالحسانية,al-ashhur al-hijriya bil-hassaniya,everyday_chat,mo3jam_dictionary,vocabulary
door/gate,الببان,al-babban,everyday_chat,mo3jam_dictionary,vocabulary
orange (fruit),البرتوش,al-bartush,everyday_chat,mo3jam_dictionary,vocabulary
dry/dried,الجفة,al-jaffa,everyday_chat,mo3jam_dictionary,vocabulary
fish,الحوت,al-hut,everyday_chat,mo3jam_dictionary,vocabulary
the woman/wife,الراله,al-ralah,everyday_chat,mo3jam_dictionary,vocabulary
knives,السكاك,al-skak,everyday_chat,mo3jam_dictionary,vocabulary
Sahrawi/desert person,الصحراوي,al-sahrawi,everyday_chat,mo3jam_dictionary,vocabulary
brick,الطوبة,al-tuba,everyday_chat,mo3jam_dictionary,vocabulary
camel herder,الغمال,al-ghammal,everyday_chat,mo3jam_dictionary,vocabulary
traditional Mauritanian Quranic school,المحظرة,al-mahdhara,everyday_chat,mo3jam_dictionary,vocabulary
fan/blower,المنداف,al-mindaf,everyday_chat,mo3jam_dictionary,vocabulary
yes,ايوة,aywa,everyday_chat,mo3jam_dictionary,vocabulary
Better to be close/nearby,أحسن تكارب,27sn tkarb,public_comments,mo3jam_dictionary,proverb
Faster than an ostrich,افرك من النعام,avrk mn aln3am,public_comments,mo3jam_dictionary,proverb
"He who feeds you and feeds him in the country, if they turn crooked, they fall",اللي اعشاك واعشاه فابلد ايلا عوجو كبو,ally a3chak wa3chah vabld ayla 3wjw kbw,public_comments,mo3jam_dictionary,proverb
"He who doesn't listen to you, you can't benefit him",المايسمع لك ما تنفعه,almaysm3 lk ma tnv3h,public_comments,mo3jam_dictionary,proverb
happiness,سعادت,s3adt,everyday_chat,omniglot,vocabulary
learning/reading,قرايت,9rayt,everyday_chat,omniglot,vocabulary
awakens,يحرار,y7rar,everyday_chat,omniglot,vocabulary
opens,ينحل,yn7l,everyday_chat,omniglot,vocabulary
his eyes,عينه,3ynh,everyday_chat,omniglot,vocabulary
sees,يشڤ,ychv,everyday_chat,omniglot,vocabulary
path,طريق,6ry9,everyday_chat,omniglot,vocabulary
life,حيات,7yat,everyday_chat,omniglot,vocabulary
apparent/visible,ڤايت,vayt,everyday_chat,omniglot,vocabulary
future,مستقبل,mst9bl,everyday_chat,omniglot,vocabulary
educated/reader,قار,9ar,everyday_chat,omniglot,vocabulary
blind,اعمة,a3ma,everyday_chat,omniglot,vocabulary
seer,اشايڤ,achayv,everyday_chat,omniglot,vocabulary
best/choice,خيار,5yar,everyday_chat,omniglot,vocabulary
children,ولادم,wladm,everyday_chat,omniglot,vocabulary
we urge,نوص,nws,everyday_chat,omniglot,vocabulary
head/self,راس,ras,everyday_chat,omniglot,vocabulary
"The first happiness of man is to learn. The one who learns awakens and opens his eyes. And he sees the path that life traces for him. He knows what is apparent and what is hidden. The difference between the educated and the uneducated is the difference between the blind and the seer. The best thing a man should be looking for is to learn. We urge you to learn for yourselves and to inspire your children to learn, serving as role models for them.",اﻭﻝ من سعادت لنساﻥ: قرايت. ﻭة ﻝ قرة يحرار ﻭة ينحل عينه. ﻭة يشڤ طريق تضمنل اﻝ حيات ﻭة تعرڤ بل ڤايت ﻭﻝ مستقبل. ﻭﻝ ﻝ بين اﻝ قار ﻭﻝ ماﻩ ﻕار ﻩﻭة ﻝ بين، اعمة ﻭة اشايڤ. ﻩية خيار ﻝ يصبح شﻭر هة ﻭلادم .ﻭلة يسد بة، هية اﻝ ﻕرايت. نوص راس كم عليهة ﻭة ندﻩ عليهة تركت كم ﻭة مش نتمة ﻕدان هم,"Ëwwël mën saʼaadët linsaan: graaytu. Wë li gra yëḥraar wë yënḥallu ʼayniih. Wë yëŝuuv ṭriig tëḍmënlu ël ḥayaat wë tëʼarvu bil vaayit wël mustaqbël. Wël li bëyn ël gaari wël maahu gaari huwwë li bëyn, ëʼmë wë ëŝŝaayiv. Hiyyë xiyaar li yëṣbaḥ ŝoor hë wullaadëm walla yëssed bë, hiyyë ël graayat. Nwaṣṣi raasi kum ʼiliihë wë ndihu ʼiliihë tërkët kum wë mŝu ntuumë gëddaan hum.",everyday_chat,omniglot,literary_text
"Corolla Verso, new, hasn't expired, registered, and its papers are only two weeks old.",corolla verso اجديد مافات ورقم وملفو مالو اسبوعين .,corolla verso ajdyd mavat wr9m wmlvw malw asbw3yn .,marketplace_qa,voursa_marketplace,product_description
new (Hassania pronunciation of جديد),اجديد,ajdyd,marketplace_qa,voursa_marketplace,marketplace_vocabulary
hasn't expired/passed (registration/inspection),مافات,mavat,marketplace_qa,voursa_marketplace,marketplace_vocabulary
registered (with papers),ورقم,wr9m,marketplace_qa,voursa_marketplace,marketplace_vocabulary
registered (feminine form),ورقمت,wr9mt,marketplace_qa,voursa_marketplace,marketplace_vocabulary
clean (good condition),نظيفة,n8yva,marketplace_qa,voursa_marketplace,marketplace_vocabulary
good/nice (Hassania),زينة,zyna,marketplace_qa,voursa_marketplace,marketplace_vocabulary
its AC is cold,كليمها بارد,klymha bard,marketplace_qa,voursa_marketplace,marketplace_vocabulary
its file/papers,ملفو,mlvw,marketplace_qa,voursa_marketplace,marketplace_vocabulary
it has been (time expression),مالو,malw,marketplace_qa,voursa_marketplace,marketplace_vocabulary
arrived from (import origin),واصل,wasl,marketplace_qa,voursa_marketplace,marketplace_vocabulary
its engine,مكينتها,mkyntha,marketplace_qa,voursa_marketplace,marketplace_vocabulary
its condition,حالتها,7altha,marketplace_qa,voursa_marketplace,marketplace_vocabulary
"[Real estate: Land Plot in Tevragh Zeina - 4,000,000 MRU]",نيمرو من h اسويت للبيع,nymrw mn h aswyt llby3,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Land Plot in Toujounine - 700,000 MRU]",نيمروين احذ كرفور النايب,nymrwyn a74 krvwr alnayb,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Land Plot in Dar Naim - 1,300,000 MRU]",قطعة أرض للبيع فالمطار القديم,963a 2rd llby3 valm6ar al9dym,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Land Plot in Tevragh Zeina - 5,500,000 MRU]",نيمرو فكرن من سكتير 1 افنور للبيع,nymrw vkrn mn sktyr 1 avnwr llby3,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Land Plot in Tevragh Zeina - 4,500,000 MRU]",نيمرو من سكتير 6 اكريب من كدروه للبيع,nymrw mn sktyr 6 akryb mn kdrwh llby3,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Land Plot in Tevragh Zeina - 7,500,000 MRU]",نيمرو إعلى كدروه قرب الجامعة اللبنانية,nymrw 23la kdrwh 9rb aljam3a allbnanya,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Residential Property in Dar Naim - 450,000 MRU]",دار فدار النعيم قرب فيراج ولد ابادو فاتحه في برك,dar vdar aln3ym 9rb vyraj wld abadw vat7h vy brk,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Land Plot in Tevragh Zeina - 5,200,000 MRU]",نيمرو فكرن من لساتذ,nymrw vkrn mn lsat4,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Land Plot in Tevragh Zeina - 520,000 MRU]",نيمرو فاتح الوره والكدام من اتراب صنادرة التيسير للبيع,nymrw vat7 alwrh walkdam mn atrab snadra altysyr llby3,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Residential Property in Teyarett - 8,500 MRU]",استوديو في عين الطلح,astwdyw vy 3yn al6l7,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Residential Property in Arafat - 1,600,000 MRU]",دار فعرفات احذ اوفو الكيل,dar v3rvat a74 awvw alkyl,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Residential Property in Arafat - 1,000,000 MRU]",سمعه احذ حمام الياسمين,sm3h a74 7mam alyasmyn,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Residential Property in Tevragh Zeina - 15,000 MRU]",ابرتماه لم يسكن من قبل قرب سفارةامريكا,abrtmah lm yskn mn 9bl 9rb svaraamryka,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Residential Property in Tevragh Zeina - 7,000,000 MRU]",ديبلكس طراز راقى في الفوز الصحراوي,dyblks 6raz ra9a vy alvwz als7rawy,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Residential Property in Tevragh Zeina - 2,500,000 MRU]",شانتي للببع فا BCI سيت ابلاج,chanty llbb3 va BCI syt ablaj,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Residential Property in Chami - 190,000 MRU]",فرصة نيمرو فالشامي فيه سكن هوين,vrsa nymrw valchamy vyh skn hwyn,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Residential Property in Dar Naim - 1,300,000 MRU]",سمعه االقوك وتحت ف تن سويلم بالقرب من البوصط للبيع,sm3h aal9wk wt7t v tn swylm bal9rb mn albws6 llby3,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Land Plot in Tevragh Zeina - 2,600,000 MRU]",فورصة نص من سكتير 1 بلو ابيظ,vwrsa ns mn sktyr 1 blw aby8,marketplace_qa,voursa_marketplace,real_estate_listing
"[Real estate: Residential Property in Arafat - 530,000 MRU]",دار فملح,dar vml7,marketplace_qa,voursa_marketplace,real_estate_listing
numéro - plot number (from French),نيمرو,nymrw,marketplace_qa,voursa_marketplace,real_estate_vocabulary
two plots,نيمروين,nymrwyn,marketplace_qa,voursa_marketplace,real_estate_vocabulary
near/beside (Hassania),احذ,a74,marketplace_qa,voursa_marketplace,real_estate_vocabulary
close to (Hassania),اكريب,akryb,marketplace_qa,voursa_marketplace,real_estate_vocabulary
carrefour - intersection (from French),كرفور,krvwr,marketplace_qa,voursa_marketplace,real_estate_vocabulary
secteur - sector (from French),سكتير,sktyr,marketplace_qa,voursa_marketplace,real_estate_vocabulary
avenue (from French),افنور,avnwr,marketplace_qa,voursa_marketplace,real_estate_vocabulary
main road/cadre,كدروه,kdrwh,marketplace_qa,voursa_marketplace,real_estate_vocabulary
corner/in corner,فكرن,vkrn,marketplace_qa,voursa_marketplace,real_estate_vocabulary
house,دار,dar,marketplace_qa,voursa_marketplace,real_estate_vocabulary
small house/room,سمعه,sm3h,marketplace_qa,voursa_marketplace,real_estate_vocabulary
